Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Balanced Accuracy,Val Macro F1,Val Recall MEL,Val Recall NV,Val Recall BCC,Val Recall AK,Val Recall BKL,Val Recall DF,Val Recall VASC,Val Recall SCC,Val Macro AUC OvR,Val Cohen Kappa,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
48,0.0009,465,0.0927,0.7904,0.7899,0.7331,0.8888,0.9132,0.6338,0.8154,0.7027,0.9250,0.7113,0.9737,0.7736,1119.7,5378.0,99.0
49,0.0017,465,0.0786,0.7853,0.7953,0.7886,0.9411,0.8245,0.6479,0.7846,0.6757,0.9500,0.6701,0.9800,0.7968,1119.7,5378.0,99.0
50,0.0016,465,0.0830,0.7881,0.7910,0.8156,0.8778,0.9038,0.6761,0.7769,0.7027,0.9750,0.5773,0.9785,0.7774,1119.7,5378.0,99.0
51,0.0015,465,0.0810,0.8006,0.8054,0.7736,0.9015,0.9132,0.7465,0.7513,0.7297,0.9500,0.6392,0.9780,0.7863,1119.7,5378.0,99.0
52,0.0022,465,0.0710,0.8048,0.8015,0.7541,0.9235,0.8736,0.7254,0.7692,0.7297,0.9000,0.7629,0.9781,0.7927,1119.7,5378.0,99.0
53,0.0018,465,0.0833,0.7880,0.8048,0.7676,0.9439,0.8925,0.6831,0.7564,0.6757,0.9250,0.6598,0.9790,0.8038,1119.7,5378.0,99.0
54,0.0011,465,0.0859,0.7959,0.8047,0.8141,0.9009,0.9245,0.6831,0.6949,0.7027,0.9250,0.7216,0.9774,0.7886,1119.7,5378.0,99.0
55,0.0009,465,0.0790,0.7950,0.7906,0.8081,0.9224,0.8623,0.7394,0.7051,0.7027,0.9500,0.6701,0.9793,0.7909,1119.7,5378.0,99.0
56,0.0013,465,0.0729,0.8053,0.8032,0.7916,0.9323,0.9057,0.6831,0.7590,0.7297,0.9500,0.6907,0.9802,0.8088,1119.7,5378.0,99.0
57,0.0010,465,0.0817,0.8002,0.8171,0.8276,0.9367,0.8830,0.6831,0.7077,0.6757,0.9250,0.7629,0.9804,0.8092,1119.7,5378.0,99.0
58,0.0007,465,0.0851,0.7953,0.8115,0.8171,0.9207,0.8981,0.6761,0.7718,0.6216,0.9250,0.7320,0.9802,0.8073,1119.7,5378.0,99.0
59,0.0007,465,0.0762,0.8129,0.7961,0.8231,0.9059,0.8962,0.6479,0.6923,0.7838,0.9500,0.8041,0.9786,0.7911,1119.7,5378.0,99.0
60,0.0018,465,0.0819,0.8061,0.8279,0.8066,0.9252,0.9057,0.7183,0.7667,0.6757,0.9500,0.7010,0.9808,0.8104,1101.4,5378.0,79.0
61,0.0009,465,0.0794,0.8041,0.8124,0.8186,0.9147,0.9057,0.6901,0.7231,0.7297,0.9500,0.7010,0.9815,0.7992,1119.8,5378.0,99.0
62,0.0009,465,0.0733,0.8169,0.8235,0.7826,0.9367,0.8887,0.7113,0.7564,0.7568,0.9500,0.7526,0.9817,0.8093,1119.8,5378.0,99.0
63,0.0008,465,0.0782,0.8192,0.8298,0.8051,0.9268,0.8868,0.7254,0.7667,0.7297,0.9500,0.7629,0.9814,0.8107,1124.4,5378.0,99.0
64,0.0006,465,0.0858,0.8017,0.8251,0.7961,0.9499,0.9038,0.7042,0.7744,0.6757,0.9500,0.6598,0.9826,0.8220,1112.2,5378.0,90.0
65,0.0007,465,0.0780,0.8010,0.8098,0.8066,0.9290,0.8736,0.6972,0.7564,0.7027,0.9000,0.7423,0.9827,0.8045,1106.1,5378.0,90.0
66,0.0006,465,0.0907,0.7941,0.8123,0.7781,0.9340,0.9208,0.6620,0.7872,0.6757,0.9250,0.6701,0.9824,0.8100,1124.5,5378.0,99.0
67,0.0004,465,0.0837,0.8012,0.8215,0.7871,0.9444,0.9151,0.6761,0.7667,0.7297,0.9000,0.6907,0.9835,0.8168,1124.5,5378.0,99.0
68,0.0004,465,0.0974,0.7886,0.8134,0.7781,0.9505,0.9132,0.7042,0.7333,0.6486,0.9000,0.6804,0.9816,0.8126,1106.2,5378.0,75.0
69,0.0009,465,0.0813,0.8096,0.8179,0.8216,0.9103,0.8868,0.7113,0.8179,0.7027,0.9250,0.7010,0.9815,0.8086,1124.5,5378.0,99.0
70,0.0004,465,0.0846,0.8052,0.8257,0.8021,0.9538,0.8642,0.7183,0.7846,0.7027,0.9250,0.6907,0.9822,0.8213,1124.5,5378.0,99.0
71,0.0004,465,0.0811,0.8111,0.8260,0.7646,0.9521,0.9019,0.7535,0.7718,0.7027,0.9000,0.7423,0.9823,0.8198,1124.5,5378.0,99.0
72,0.0006,465,0.0836,0.8084,0.8271,0.7901,0.9483,0.9113,0.7183,0.7538,0.7027,0.9000,0.7423,0.9821,0.8215,1124.5,5378.0,99.0
73,0.0007,465,0.0734,0.8202,0.8241,0.7766,0.9477,0.8925,0.7606,0.7538,0.7027,0.9750,0.7526,0.9830,0.8178,1124.5,5378.0,99.0
74,0.0003,465,0.0793,0.8096,0.8250,0.7676,0.9538,0.9151,0.7042,0.7718,0.7027,0.9500,0.7113,0.9830,0.8215,1124.7,5378.0,99.0
75,0.0003,465,0.0790,0.8077,0.8240,0.7856,0.9428,0.9113,0.7465,0.7590,0.6757,0.9500,0.6907,0.9826,0.8175,1124.7,5378.0,99.0
76,0.0004,465,0.0792,0.8119,0.8273,0.7991,0.9345,0.8962,0.7254,0.8179,0.6757,0.9250,0.7216,0.9832,0.8216,1106.3,5378.0,84.0
77,0.0005,465,0.0805,0.8100,0.8161,0.7886,0.9417,0.9057,0.7113,0.7846,0.7838,0.9250,0.6392,0.9832,0.8175,1124.7,5378.0,99.0
78,0.0006,465,0.0856,0.8063,0.8296,0.7691,0.9587,0.9019,0.7113,0.7846,0.7297,0.9250,0.6701,0.9836,0.8226,1124.7,5378.0,99.0
79,0.0003,465,0.0771,0.8169,0.8277,0.7946,0.9389,0.9189,0.7183,0.7795,0.7027,0.9500,0.7320,0.9833,0.8226,1124.7,5378.0,99.0
80,0.0002,465,0.0821,0.8023,0.8160,0.7931,0.9455,0.9151,0.7254,0.7205,0.7027,0.9250,0.6907,0.9835,0.8147,1124.7,5378.0,99.0
81,0.0002,465,0.0826,0.8108,0.8207,0.7991,0.9334,0.9132,0.7887,0.7538,0.7027,0.9250,0.6701,0.9832,0.8164,1124.7,5378.0,99.0
82,0.0002,465,0.0826,0.8134,0.8244,0.7751,0.9466,0.9113,0.7887,0.7667,0.7027,0.9250,0.6907,0.9833,0.8210,1124.7,5378.0,99.0
83,0.0003,465,0.0800,0.8167,0.8270,0.7961,0.9450,0.9151,0.7817,0.7487,0.6757,0.9500,0.7216,0.9833,0.8242,1124.7,5378.0,99.0
84,0.0006,465,0.0774,0.8282,0.8393,0.8021,0.9400,0.9038,0.7535,0.7872,0.7568,0.9500,0.7320,0.9836,0.8260,1124.7,5378.0,99.0
85,0.0002,465,0.0820,0.8197,0.8329,0.7796,0.9521,0.9151,0.7606,0.7590,0.7297,0.9500,0.7113,0.9834,0.8251,1124.7,5378.0,99.0
86,0.0002,465,0.0833,0.8212,0.8321,0.8156,0.9433,0.8962,0.7746,0.7487,0.7297,0.9500,0.7113,0.9832,0.8242,1124.7,5378.0,99.0
87,0.0002,465,0.0845,0.8178,0.8322,0.8036,0.9477,0.8925,0.7535,0.7846,0.7297,0.9500,0.6804,0.9833,0.8262,1117.1,5378.0,90.0
88,0.0002,465,0.0857,0.8176,0.8319,0.7976,0.9433,0.8962,0.7465,0.7974,0.7297,0.9500,0.6804,0.9832,0.8241,1110.5,5378.0,74.0
89,0.0001,465,0.0884,0.8157,0.8333,0.7931,0.9455,0.9151,0.7324,0.7897,0.7297,0.9500,0.6701,0.9832,0.8259,1124.7,5378.0,99.0
90,0.0001,465,0.0883,0.8141,0.8335,0.7826,0.9477,0.9208,0.7324,0.7795,0.7297,0.9500,0.6701,0.9834,0.8240,1124.7,5378.0,99.0
91,0.0003,465,0.0865,0.8131,0.8302,0.8021,0.9461,0.9057,0.7394,0.7718,0.7297,0.9500,0.6598,0.9835,0.8238,1124.7,5378.0,99.0
92,0.0001,465,0.0869,0.8152,0.8339,0.7976,0.9549,0.8962,0.7465,0.7667,0.7297,0.9500,0.6804,0.9836,0.8267,1124.7,5378.0,99.0
93,0.0003,465,0.0868,0.8142,0.8325,0.7991,0.9505,0.8981,0.7465,0.7692,0.7297,0.9500,0.6701,0.9835,0.8246,1124.7,5378.0,99.0
94,0.0002,465,0.0870,0.8153,0.8330,0.7931,0.9510,0.9019,0.7394,0.7769,0.7297,0.9500,0.6804,0.9836,0.8255,1124.7,5378.0,99.0
95,0.0002,465,0.0873,0.8163,0.8336,0.7961,0.9510,0.9000,0.7465,0.7769,0.7297,0.9500,0.6804,0.9836,0.8263,1124.7,5378.0,99.0
96,0.0001,465,0.0876,0.8156,0.8328,0.7991,0.9488,0.9000,0.7394,0.7769,0.7297,0.9500,0.6804,0.9836,0.8252,1124.7,5378.0,99.0
97,0.0001,465,0.0878,0.8160,0.8333,0.8006,0.9510,0.9000,0.7394,0.7769,0.7297,0.9500,0.6804,0.9836,0.8271,1124.7,5378.0,99.0
98,0.0002,465,0.0882,0.8160,0.8333,0.8006,0.9510,0.9000,0.7394,0.7769,0.7297,0.9500,0.6804,0.9836,0.8271,1124.7,5378.0,99.0
99,0.0002,465,0.0882,0.8160,0.8334,0.8006,0.9510,0.9000,0.7394,0.7769,0.7297,0.9500,0.6804,0.9836,0.8271,1124.7,5378.0,99.0
100,0.0002,465,0.0881,0.8160,0.8333,0.8006,0.9510,0.9000,0.7394,0.7769,0.7297,0.9500,0.6804,0.9836,0.8271,1124.7,5378.0,99.0
