Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Mean AUC ROC,Val Macro F1,Val AUC Atelectasis,Val AUC Cardiomegaly,Val AUC Effusion,Val AUC Infiltration,Val AUC Mass,Val AUC Nodule,Val AUC Pneumonia,Val AUC Pneumothorax,Val AUC Consolidation,Val AUC Edema,Val AUC Emphysema,Val AUC Fibrosis,Val AUC Pleural_Thickening,Val AUC Hernia,Val Sensitivity Atelectasis,Val Sensitivity Cardiomegaly,Val Sensitivity Effusion,Val Sensitivity Infiltration,Val Sensitivity Mass,Val Sensitivity Nodule,Val Sensitivity Pneumonia,Val Sensitivity Pneumothorax,Val Sensitivity Consolidation,Val Sensitivity Edema,Val Sensitivity Emphysema,Val Sensitivity Fibrosis,Val Sensitivity Pleural_Thickening,Val Sensitivity Hernia,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
26,0.1888,2449,3.3013,0.7735,0.2359,0.7589,0.8923,0.8701,0.6568,0.7794,0.6930,0.6489,0.7668,0.7102,0.8569,0.8417,0.7191,0.7155,0.9195,0.4981,0.4277,0.6931,0.4876,0.3814,0.2191,0.0482,0.2292,0.1880,0.2500,0.3525,0.1871,0.1566,0.5000,1059.8,5266.0,100.0
27,0.1697,2449,3.4317,0.7689,0.2468,0.7593,0.8994,0.8656,0.6600,0.7549,0.6877,0.6617,0.7557,0.7230,0.8523,0.8338,0.7294,0.7068,0.8754,0.4153,0.3757,0.6628,0.5007,0.3574,0.2516,0.0843,0.1958,0.2293,0.2414,0.2662,0.2014,0.2323,0.4000,1059.8,5266.0,100.0
28,0.1557,2449,3.6029,0.7720,0.2426,0.7643,0.9029,0.8639,0.6550,0.7872,0.6831,0.6598,0.7734,0.7214,0.8489,0.8312,0.7113,0.7175,0.8875,0.4240,0.3064,0.5788,0.4241,0.3964,0.3362,0.0361,0.2167,0.2406,0.2586,0.2878,0.1439,0.1818,0.5000,1059.8,5266.0,100.0
29,0.1381,2449,3.7967,0.7695,0.2375,0.7451,0.8942,0.8600,0.6608,0.7645,0.6839,0.6643,0.7773,0.7054,0.8480,0.8352,0.7268,0.6996,0.9085,0.4104,0.3757,0.6604,0.4336,0.3183,0.2278,0.0241,0.2292,0.1504,0.2672,0.2590,0.1655,0.1010,0.4000,1040.9,5266.0,91.0
30,0.1234,2449,3.8778,0.7692,0.2425,0.7611,0.8959,0.8604,0.6515,0.7686,0.6810,0.6646,0.7692,0.7056,0.8524,0.8349,0.7237,0.6954,0.9045,0.3857,0.3873,0.5916,0.4584,0.2793,0.2451,0.0241,0.2250,0.1278,0.2241,0.2374,0.1727,0.1061,0.6000,1059.8,5266.0,100.0
31,0.1107,2449,4.1071,0.7621,0.2375,0.7517,0.8860,0.8574,0.6585,0.7805,0.6749,0.6367,0.7626,0.6986,0.8464,0.8359,0.7029,0.6794,0.8982,0.3498,0.2832,0.5578,0.3723,0.3093,0.2299,0.0120,0.1625,0.1579,0.2069,0.2806,0.1511,0.0606,0.6000,1059.8,5266.0,100.0
32,0.1008,2449,4.1653,0.7614,0.2336,0.7407,0.8808,0.8603,0.6527,0.7821,0.6825,0.6502,0.7676,0.7106,0.8302,0.8257,0.7021,0.6944,0.8803,0.3053,0.3353,0.5928,0.4095,0.3033,0.1844,0.0241,0.2292,0.1090,0.2155,0.2590,0.1151,0.1263,0.4000,1059.8,5266.0,100.0
33,0.0889,2449,4.3356,0.7624,0.2303,0.7488,0.8838,0.8576,0.6444,0.7767,0.6678,0.6700,0.7582,0.7005,0.8550,0.8284,0.7075,0.6838,0.8914,0.3239,0.2775,0.5461,0.3445,0.2943,0.2082,0.0602,0.1542,0.1090,0.2241,0.2086,0.1151,0.1010,0.4000,1059.8,5266.0,100.0
34,0.0788,2449,4.4444,0.7598,0.2266,0.7462,0.8799,0.8543,0.6445,0.7635,0.6820,0.6588,0.7739,0.6983,0.8221,0.8207,0.7042,0.6924,0.8964,0.2769,0.3006,0.5788,0.3657,0.2523,0.1757,0.0361,0.1583,0.1053,0.1810,0.2518,0.1151,0.1061,0.4000,1057.6,5266.0,92.0
35,0.0707,2449,4.6222,0.7576,0.2269,0.7414,0.8864,0.8556,0.6479,0.7580,0.6777,0.6551,0.7630,0.6993,0.8217,0.8183,0.7003,0.6818,0.8996,0.3177,0.3064,0.5041,0.3591,0.2553,0.1410,0.0241,0.1792,0.1165,0.1466,0.2446,0.1223,0.0707,0.4000,1059.8,5266.0,100.0
36,0.0649,2449,4.7811,0.7570,0.2261,0.7402,0.8772,0.8560,0.6446,0.7655,0.6843,0.6491,0.7571,0.6838,0.8306,0.8201,0.6874,0.6828,0.9196,0.2818,0.2197,0.4924,0.3168,0.2432,0.1735,0.0241,0.1833,0.0902,0.1810,0.2086,0.1079,0.0758,0.6000,1059.8,5266.0,100.0
37,0.0569,2449,4.8449,0.7561,0.2218,0.7445,0.8763,0.8553,0.6548,0.7637,0.6764,0.6580,0.7508,0.6939,0.8261,0.8143,0.6939,0.6715,0.9056,0.2954,0.2370,0.5344,0.3387,0.2583,0.1280,0.0241,0.1375,0.0865,0.1810,0.2086,0.0935,0.0606,0.5000,1059.8,5266.0,100.0
38,0.0512,2449,4.9675,0.7562,0.2171,0.7422,0.8739,0.8519,0.6467,0.7679,0.6757,0.6604,0.7587,0.6953,0.8163,0.8190,0.6914,0.6772,0.9106,0.2991,0.2659,0.5064,0.2569,0.2252,0.1497,0.0241,0.1542,0.0865,0.1552,0.1727,0.0863,0.0758,0.4000,1059.8,5266.0,100.0
39,0.0467,2449,5.0419,0.7543,0.2237,0.7382,0.8778,0.8537,0.6428,0.7692,0.6807,0.6640,0.7379,0.6900,0.8180,0.8159,0.6966,0.6716,0.9036,0.2855,0.2428,0.5088,0.3343,0.2462,0.1584,0.0241,0.1250,0.0827,0.1638,0.1655,0.1151,0.0758,0.5000,1059.8,5266.0,100.0
40,0.0426,2449,5.1946,0.7532,0.2098,0.7402,0.8774,0.8541,0.6413,0.7683,0.6765,0.6572,0.7555,0.6943,0.8115,0.8046,0.6907,0.6724,0.9008,0.2658,0.2370,0.5146,0.2861,0.2222,0.1280,0.0241,0.1208,0.0677,0.1724,0.1655,0.0791,0.0556,0.4000,1059.8,5266.0,100.0
