Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Dice WT,Val Dice TC,Val Dice ET,Val Mean Dice,Val HD95 WT,Val HD95 TC,Val HD95 ET,Val Mean HD95,Val Sensitivity WT,Val Sensitivity TC,Val Sensitivity ET,Val Specificity WT,Val Specificity TC,Val Specificity ET,Val Precision WT,Val Precision TC,Val Precision ET,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
81,0.1126,989,0.1352,0.9067,0.8832,0.8504,0.8801,,,,,,,,,,,,,,1356.5,26387.0,100.0
82,0.1136,989,0.1267,0.9092,0.8982,0.8509,0.8861,,,,,,,,,,,,,,1356.5,26387.0,100.0
83,0.1133,989,0.1325,0.9045,0.8887,0.8479,0.8804,,,,,,,,,,,,,,1356.5,26387.0,100.0
84,0.1131,989,0.1257,0.9128,0.8966,0.8549,0.8881,,,,,,,,,,,,,,1356.5,26387.0,100.0
85,0.1149,989,0.1247,0.9161,0.8973,0.8550,0.8895,,,,,,,,,,,,,,1356.5,26387.0,100.0
86,0.1112,989,0.1354,0.9040,0.8855,0.8493,0.8796,,,,,,,,,,,,,,1356.5,26387.0,100.0
87,0.1137,989,0.1330,0.9077,0.8884,0.8508,0.8823,,,,,,,,,,,,,,1356.5,26387.0,100.0
88,0.1117,989,0.1314,0.9080,0.8894,0.8527,0.8834,,,,,,,,,,,,,,1356.5,26387.0,100.0
89,0.1117,989,0.1306,0.9080,0.8914,0.8525,0.8840,,,,,,,,,,,,,,1356.5,26387.0,100.0
90,0.1101,989,0.1317,0.9067,0.8890,0.8506,0.8821,,,,,,,,,,,,,,1356.5,26387.0,100.0
91,0.1115,989,0.1319,0.9066,0.8887,0.8517,0.8823,,,,,,,,,,,,,,1356.5,26387.0,100.0
92,0.1129,989,0.1309,0.9071,0.8900,0.8516,0.8829,,,,,,,,,,,,,,1356.5,26387.0,100.0
93,0.1124,989,0.1310,0.9074,0.8893,0.8520,0.8829,,,,,,,,,,,,,,1356.4,26387.0,100.0
94,0.1113,989,0.1315,0.9069,0.8890,0.8516,0.8825,,,,,,,,,,,,,,1356.5,26387.0,100.0
95,0.1120,989,0.1313,0.9069,0.8892,0.8514,0.8825,,,,,,,,,,,,,,1356.5,26387.0,100.0
96,0.1107,989,0.1312,0.9064,0.8897,0.8513,0.8824,,,,,,,,,,,,,,1356.5,26387.0,100.0
97,0.1120,989,0.1310,0.9065,0.8899,0.8514,0.8826,,,,,,,,,,,,,,1356.5,26387.0,100.0
98,0.1114,989,0.1318,0.9063,0.8887,0.8509,0.8820,,,,,,,,,,,,,,1356.5,26387.0,100.0
99,0.1114,989,0.1318,0.9063,0.8887,0.8510,0.8820,,,,,,,,,,,,,,1356.5,26387.0,100.0
100,0.1113,989,0.1318,0.9063,0.8886,0.8510,0.8820,,,,,,,,,,,,,,1356.5,26387.0,100.0
