             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          33315084   general ellipseL kinsleyt  R 5-17:41:40      1 svc-3024-6-7
          33315557   general ellipseL kinsleyt  R 5-17:41:40      1 svc-3024-6-12
          33315558   general ellipseL kinsleyt  R 5-17:41:40      1 svc-3024-6-13
          33315561   general ellipseL kinsleyt  R 5-17:41:40      1 svc-3024-6-17
          33315562   general ellipseL kinsleyt  R 5-17:41:40      1 svc-3024-6-19
          33315563   general ellipseL kinsleyt  R 5-17:41:40      1 svc-3024-6-20
          33315564   general ellipseL kinsleyt  R 5-17:41:40      1 svc-3024-6-21
          33315568   general ellipseL kinsleyt  R 5-17:41:40      1 svc-3024-6-23
          33320338   general s1_QST2_  rmedema  R 5-17:41:40      8 svc-3024-6-[2-3,7-12]
          33342426   general azo90.ci amdobber  R 2-05:03:04      1 svc-3024-6-1
      33340955_438   general dock-tes weihaolu  R 2-13:58:22      1 svc-3024-6-8
          33345610   general v30-swap parkerhe  R 2-00:02:03      1 svc-3024-6-29
          33346714   general v30-swap parkerhe  R 1-22:02:51      1 svc-3024-6-8
          33346683   general v30-swap parkerhe  R 1-22:13:11      1 svc-3024-6-8
          33346258   general v30-swap parkerhe  R 1-23:21:33      1 svc-3024-6-24
          33346255   general v30-swap parkerhe  R 1-23:21:39      1 svc-3024-6-19
          33346247   general v30-swap parkerhe  R 1-23:21:48      1 svc-3024-6-13
          33346246   general v30-swap parkerhe  R 1-23:21:51      1 svc-3024-6-13
          33346245   general v30-swap parkerhe  R 1-23:21:54      1 svc-3024-6-13
          33346243   general v30-swap parkerhe  R 1-23:21:57      1 svc-3024-6-12
          33346244   general v30-swap parkerhe  R 1-23:21:57      1 svc-3024-6-12
          33346242   general v30-swap parkerhe  R 1-23:22:00      1 svc-3024-6-11
          33346241   general v30-swap parkerhe  R 1-23:22:02      1 svc-3024-6-11
          33346239   general v30-swap parkerhe  R 1-23:22:05      1 svc-3024-6-9
          33346240   general v30-swap parkerhe  R 1-23:22:05      1 svc-3024-6-10
          33346238   general v30-swap parkerhe  R 1-23:22:08      1 svc-3024-6-9
          33346237   general v30-swap parkerhe  R 1-23:22:24      1 svc-3024-6-9
          33346236   general v30-swap parkerhe  R 1-23:22:27      1 svc-3024-6-7
          33346234   general v30-swap parkerhe  R 1-23:22:30      1 svc-3024-6-5
          33346235   general v30-swap parkerhe  R 1-23:22:30      1 svc-3024-6-7
          33346233   general v30-swap parkerhe  R 1-23:22:33      1 svc-3024-6-5
          33346231   general v30-swap parkerhe  R 1-23:22:37      1 svc-3024-6-4
          33346232   general v30-swap parkerhe  R 1-23:22:37      1 svc-3024-6-5
          33346230   general v30-swap parkerhe  R 1-23:22:40      1 svc-3024-6-4
          33346229   general v30-swap parkerhe  R 1-23:22:43      1 svc-3024-6-4
          33346228   general v30-swap parkerhe  R 1-23:22:46      1 svc-3024-9-22
          33346227   general v30-swap parkerhe  R 1-23:23:09      1 svc-3024-9-22
        33345843_1   general HDDMRegr bohyunpa  R 2-01:21:14      1 svc-3024-9-29
        33345843_2   general HDDMRegr bohyunpa  R 2-01:21:14      1 svc-3024-9-29
        33345843_3   general HDDMRegr bohyunpa  R 2-01:21:14      1 svc-3024-9-29
        33345843_4   general HDDMRegr bohyunpa  R 2-01:21:14      1 svc-3024-9-28
          33346096   general slurmscr kinsleyt  R 2-00:02:28      1 svc-3024-9-29
          33345140   general ellipseL kinsleyt  R 2-02:00:01      1 svc-3024-6-3
          33345137   general ellipseL kinsleyt  R 2-02:00:07      1 svc-3024-6-3
          33345136   general ellipseL kinsleyt  R 2-02:00:10      1 svc-3024-9-21
          33345135   general ellipseL kinsleyt  R 2-02:00:13      1 svc-3024-9-21
          33345134   general ellipseL kinsleyt  R 2-02:00:18      1 svc-3024-9-21
          33345133   general ellipseL kinsleyt  R 2-02:00:21      1 svc-3024-9-21
          33345132   general ellipseL kinsleyt  R 2-02:00:24      1 svc-3024-6-37
          33345057   general ellipseL kinsleyt  R 2-02:15:54      1 svc-3024-6-37
          33345055   general ellipseL kinsleyt  R 2-02:15:57      1 svc-3024-6-37
          33345056   general ellipseL kinsleyt  R 2-02:15:57      1 svc-3024-6-33
          33345054   general ellipseL kinsleyt  R 2-02:16:00      1 svc-3024-6-37
          33345053   general ellipseL kinsleyt  R 2-02:16:03      1 svc-3024-6-34
          33345052   general ellipseL kinsleyt  R 2-02:16:06      1 svc-3024-6-34
          33345051   general ellipseL kinsleyt  R 2-02:16:07      1 svc-3024-6-34
          33345049   general ellipseL kinsleyt  R 2-02:16:10      1 svc-3024-6-31
          33345048   general ellipseL kinsleyt  R 2-02:16:13      1 svc-3024-6-31
          33377048      hchg bender_f shankar3  R    8:05:11      1 hchg-c0
          33326923    helios    ATP_6 gschilla  R 2-10:33:29      1 svc-3024-40-16
          33377760    helios 3_GSK-3B gschilla  R    2:40:47      1 svc-3024-40-16
          33377759    helios 2_GSK-3B gschilla  R    2:44:58      1 svc-3024-40-16
          33377706    helios GSK-3Bgs gschilla  R    2:55:08      1 svc-3024-40-20
          33377328    helios ADP_b_b_ gschilla  R    5:26:23      1 svc-3024-40-20
          33348257    helios GSK-3B_3 gschilla  R 1-18:53:08      1 svc-3024-40-16
          33348255    helios GSK-3B_2 gschilla  R 1-18:54:15      1 svc-3024-40-20
          33348254    helios GSK-3B_1 gschilla  R 1-18:55:36      1 svc-3024-40-20
